GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Conchiformibius	steedae		55:1395	comb. nov. (VL)	(Kuhn and Gregory 1979) Xie and Yokota 2005	"[IJSEM] In the effective publication the basonym is erroneously cited as Simonsiella steedae Kuhn and Gregory 1978 (sic). In the effective publication, Enterobacter cloacae subsp. cloacae is erroneously proposed as a new combination."	1	"ATCC 27409, DSM 2580, IAM 14972, JCM 21443, NBRC 102457"	775088	
Conchiformibius			55:1395	gen. nov. (VL)	Xie and Yokota 2005	[IJSEM] The name of the genus has been corrected on validation. According to Rule 65(2) Conchiformibius corrig. is in the masculine gender.			515405	
Conexibacter	arvalis		62:2400*	sp. nov. (VP)	Seki et al. 2012		1	"KV-962, DSM 23288, NBRC 106558"	790212	
Conexibacter	stalactiti		67:3214*	sp. nov. (VP)	Lee 2017			"YC2-25, KCTC 39840, DSM 103719"	795803	
Conexibacter	woesei		53:569*	sp. nov. (VP)	Monciardini et al. 2003 emend. Nouioui et al. 2018		1	"DSM 14684, ID131577, JCM 11494, NBRC 100937"	775089	
Conexibacter			53:569*	gen. nov. (VP)	Monciardini et al. 2003 emend. Lee 2017	[DSMZ] emended description: IJSEM 67:3216*			515406	
Confluentibacter	citreus		67:4008*	sp. nov. (VP)	Han et al. 2017			"XJNY, KCTC 52638, MCCC 1H00183"	796060	
Confluentibacter	lentus		66:868*	sp. nov. (VP)	Park et al. 2016			"HJM-3, KCTC 42777, NBRC 111588"	793886	
Confluentibacter			66:868*	gen. nov. (VP)	Park et al. 2016 emend. Han et al. 2017	[DSMZ] emended description: IJSEM 67:4011*			518905	
Confluentimicrobium	lipolyticum		65:1105	sp. nov. (VL)	Park et al. 2015			"SSK1-4, CECT 8621, KCTC 42136"	792749	
Confluentimicrobium	naphthalenivorans		65:4191*	sp. nov. (VP)	Jeong et al. 2015			"NS6, KCTC 18418, JCM 30828, DSM 105040"	793516	
Confluentimicrobium			65:1105	gen. nov. (VL)	Park et al. 2015 emend. Jeong et al. 2015	[DSMZ] emended description: IJSEM 65:4194*			518715	
Conglomeromonas	largomobilis	largomobilis	33:300*	"subsp. nov. (VP), homotypic syn."	Skerman et al. 1983		1	"DSM 9441, UQM 2041, ACM 2041"	775090	773595
Conglomeromonas	largomobilis	parooensis	33:300*	subsp. nov. (VP)	Skerman et al. 1983		1	"DSM 9527, UQM 2042, ACM 2042, CIP 106994"	775091	780948
Conglomeromonas	largomobilis		33:300*	sp. nov. (VP)	Skerman et al. 1983		1	"DSM 9441, ACM 2041, UQM 2041"	783690	773595
Conglomeromonas			33:300*	"gen. nov. (VP), heterotypic syn."	Skerman et al. 1983				515407	516973
Congregibacter	litoralis		59:1555	sp. nov. (VL)	Spring et al. 2009		1	"KT71, DSM 17192, NBRC 104960"	787760	
Congregibacter			59:1555	gen. nov. (VL)	Spring et al. 2009				517849	
Conservatibacter	flavescens		68:643*	sp. nov. (VP)	Adhikary et al. 2018			"7.4, CCUG 24852, HIM 794-7, DSM 105479"	796393	
Conservatibacter			68:643*	gen. nov. (VP)	Adhikary et al. 2018				519331	
Consotaella	salsifontis		67:3744*	sp. nov. (VP)	Díaz-Cárdenas et al. 2017			"USBA 369, KCTC 22549, CMPUJ U369"	796109	
Consotaella			67:3744*	gen. nov. (VP)	Díaz-Cárdenas et al. 2017				519286	
Constrictibacter	antarcticus		61:1973*	sp. nov. (VP)	Yamada et al. 2011		1	"262-8, ATCC BAA-1906, JCM 16422"	789369	
Constrictibacter			61:1973*	gen. nov. (VP)	Yamada et al. 2011				518113	
Contubernalis			74:800	gen. nov. (NVP)	Zhilina et al. 2005				515412	
Convivina	intestini		65:2017	sp. nov. (VL)	Praet et al. 2015	[IJSEM] The documents received as proof of deposition of the type strain in the DSMZ and the LMG culture collections mention strain number H79-80. This number does not feature in the article in which the species is described.		"H79-80, LMG 28291, DSM 28795"	792971	
Convivina			65:2017	gen. nov. (VL)	Praet et al. 2015				518754	
Conyzicola	lurida		64:2753*	sp. nov. (VP)	Kim et al. 2014 emend. Gu et al. 2017			"HWE2-01, KCTC 29231, JCM 19257, DSM 105784"	792011	
Conyzicola	nivalis		67:2818*	sp. nov. (VP)	Gu et al. 2017			"ZD5-4, JCM 30076, CGMCC 1.12813"	795641	
Conyzicola			64:2753*	gen. nov. (VP)	Kim et al. 2014 emend. Gu et al. 2017	[DSMZ] emended description: IJSEM 67:2821*			518589	
Coprobacillus	catenaformis		50:949	orthographically incorrect name	Kageyama and Benno 2000		1	"CIP 106690, DSM 15921, JCM 10604, RCA1-24"	798425	775119
Coprobacillus	cateniformis		50:949	sp. nov. (VL)	Kageyama and Benno 2000		1	"JCM 10604, RCA1-24, DSM 15921, CIP 106690"	775119	
Coprobacillus			50:949	gen. nov. (VL)	Kageyama and Benno 2000				515416	
Coprobacter	fastidiosus		63:4181*	sp. nov. (VP)	Shkoporov et al. 2013		1	"NSB1, DSM 26242, VKM B-2743, DSM 26242 T,"	791284	
Coprobacter	secundus		65:4580*	sp. nov. (VP)	Shkoporov et al. 2015			"177, DSM 28864, VKM B-2857"	793610	
Coprobacter			63:4181*	gen. nov. (VP)	Shkoporov et al. 2013				518448	
Coprococcus	catus		30:225	species (AL)	Holdeman and Moore 1974		1	"VPI C6-61, ATCC 27761"	783691	
Coprococcus	comes		30:225	species (AL)	Holdeman and Moore 1974		"1, +"	"VPI C1-38, ATCC 27758"	783692	
Coprococcus	eutactus		30:225	species (AL)	Holdeman and Moore 1974		1	ATCC 27759	783693	
Coprococcus			30:225	genus (AL)	Holdeman and Moore 1974				517207	
Coprothermobacter	platensis		48:1297*	sp. nov. (VP)	Etchebehere et al. 1998		1	"3R, DSM 11748"	775120	
Coprothermobacter	proteolyticus		43:857*	comb. nov. (VP)	(Ollivier et al. 1985) Rainey and Stackebrandt 1993		1	"ATCC 35245, BT, DSM 5265"	775121	
Coprothermobacter			43:857*	gen. nov. (VP)	Rainey and Stackebrandt 1993				517001	
Coraliomargarita	akajimensis		57:959*	sp. nov. (VP)	Yoon et al. 2007		1	"04OKA010-24, MBIC06463, IAM 15411, KCTC 12865, DSM 45221, JCM 23193, NBRC 103620"	786312	
Coraliomargarita	sinensis		69:701*	sp. nov. (VP)	Zhou et al. 2019			"KCTC 62602, MCCC 1H00313, WN38"	800139	
Coraliomargarita			57:959*	gen. nov. (VP)	Yoon et al. 2007				517570	
Corallibacter	vietnamensis		62:569*	sp. nov. (VP)	Kim et al. 2012		1	"JCM 17525, KCTC 23026, KMM 6217"	789715	
Corallibacter			62:569*	gen. nov. (VP)	Kim et al. 2012				518172	
Corallincola	platygyrae		67:3140	sp. nov. (VL)	Li et al. 2017			"JLT2006, CGMCC 1.10992, JCM 18796"	795772	
Corallincola			67:3140	gen. nov. (VL)	Li et al. 2017	"[DSMZ] The name proposed in the effective publication is ""<i>Coralslurrinella</i>"". It was changed to ""<i>Corallincola</i>"" in an erratum."			519240	
Corallococcus	coralloides		57:893	comb. nov. (VL)	(Thaxter 1892) Reichenbach 2007		1	"M2, ATCC 25202, DSM 2259, DSMZ 2259"	775122	
Corallococcus	exiguus		57:893	sp. nov. (VL)	(ex Kofler 1913) Reichenbach 2007		1	"Cc e167, DSM 14696, CIP 109129, JCM 12620, 14696"	775123	
Corallococcus	macrosporus		30:225	sp. nov. (AL)	Reichenbach 2007		1	"Cc m8, DSM 14697, CIP 109128, JCM 12621"	775124	
Corallococcus			57:893	gen. nov. (VL)	Reichenbach 2007 emend. Lang and Stackebrandt 2009	[DSMZ] emended description: IJSEM 59:2125*			515417	
Coralloluteibacterium	stylophorae		68:2707	sp. nov. (VL)	Chen et al. 2018			"BCRC 80968, KCTC 52167, LMG 29479, Sty a-1"	797858	
Coralloluteibacterium			68:2707	gen. nov. (VL)	Chen et al. 2018				520402	
Corallomonas	stylophorae		63:982*	sp. nov. (VP)	Chen et al. 2013		1	"KTSW-6, BCRC 80176, LMG 25553"	790597	
Corallomonas			63:982*	gen. nov. (VP)	Chen et al. 2013				518323	
Coriobacterium	glomerans		38:382*	sp. nov. (VP)	Haas and König 1988		1	"DSM 20642, PW2, ATCC 49209, JCM 10262"	775130	
Coriobacterium			38:382*	gen. nov. (VP)	Haas and König 1988				515421	
Corticibacter	populi		65:3333*	sp. nov. (VP)	Fang et al. 2015			"17B10-2-12, CFCC 12099, KCTC 42091, DSM 105136"	793316	
Corticibacter			65:3333*	gen. nov. (VP)	Fang et al. 2015				518803	
Corticibacterium	populi		66:2617*	sp. nov. (VP)	Li et al. 2016			"16B10-2-7, CFCC 12884, KCTC 42249"	794308	
Corticibacterium			66:2617*	gen. nov. (VP)	Li et al. 2016				518979	
Corticicoccus	populi		67:789*	sp. nov. (VP)	Li et al. 2017			"26D10-3-4, CFCC 12725, KCTC 33575"	795202	
Corticicoccus			67:789*	gen. nov. (VP)	Li et al. 2017				519154	
Corynebacterium	accolens		41:331	sp. nov. (VL)	Neubauer et al. 1991 emend. Nouioui et al. 2018		2	"ATCC 49725, CCUG 28779, CNCTC Th 1/57, DSM 44278, CIP 104783, JCM 8331"	775143	
Corynebacterium	afermentans	afermentans	43:287*	"subsp. nov. (VP), homotypic syn."	Riegel et al. 1993		2	"CCUG 32103, CIP 103499, DSM 44280, LCDC 88199, ATCC 51403, JCM 10390"	775147	783694
Corynebacterium	afermentans	lipophilum	43:287*	subsp. nov. (VP)	Riegel et al. 1993		2	"CCUG 32105, CIP 103500, DSM 44282, T18502, ATCC 51404, JCM 10391"	775148	
Corynebacterium	afermentans		43:287*	sp. nov. (VP)	Riegel et al. 1993 emend. Nouioui et al. 2018		2	"DSM 44280, ATCC 51403, CCUG 32103, CIP 103499, JCM 10390, LCDC 88199"	783694	
Corynebacterium	alimapuense		69:783*	sp. nov. (VP)	Claverias et al. 2019			"CCUG 69366, NCIMB 15118, VA37-3"	800120	
Corynebacterium	ammoniagenes		9:2007	comb. nov. (VP)	(Cooke and Keith 1927) Collins 1987 emend. Nouioui et al. 2018		"1, +"	"ATCC 6871, DSM 20306, IMET 11243, NCIB 8143, NCTC 2398, CCUG 38796, CIP 101283, IFO 12612, JCM 1305, NBRC 12612, NCCB 60030, NCIMB 8143, VKM B-672"	775150	
Corynebacterium	amycolatum		38:449	sp. nov. (VL)	Collins et al. 1988		"2, ht"	"DSM 6922, NCFB 2768, S 160, ATCC 49368, CCUG 35685, CIP 103452, DSMZ 6922, IFO 15207, JCM 7447, NBRC 15207, NCIMB 13130, S160"	775151	
Corynebacterium	appendicis		52:1165*	sp. nov. (VP)	Yassin et al. 2002 emend. Nouioui et al. 2018		"1, +"	"DSM 44531, IMMIB R-3491, NRRL B-14151, CCUG 48298, JCM 11765, NRRL B-24151"	775152	
Corynebacterium	aquatimens		62:2549	sp. nov. (VL)	Aravena-Román et al. 2012		"1, +"	"IMMIB L-2475, DSM 45632, CCUG 61574, IMMIB L-2012475 No.1"	790174	
Corynebacterium	aquilae		53:1135*	sp. nov. (VP)	Fernández-Garayzábal et al. 2003 emend. Nouioui et al. 2018		1	"CCUG 46511, CECT 5993, S-613, DSM 44791, JCM 12268, strain S-613"	775154	
Corynebacterium	argentoratense		45:533*	sp. nov. (VP)	Riegel et al. 1995 emend. Nouioui et al. 2018		2	"CIP 104296, DSM 44202, IBS B10697, ATCC 51927, CCUG 34893, JCM 10392"	775155	
Corynebacterium	atrinae		65:531*	sp. nov. (VP)	Kim et al. 2015			"PSPT56, KACC 17525, JCM 19266"	792530	
Corynebacterium	atypicum		53:1065*	sp. nov. (VP)	Hall et al. 2003 emend. Nouioui et al. 2018		1	"CCUG 45804, CIP 107431, R2070, DSM 44849, JCM 12368, R-2070"	775156	
Corynebacterium	aurimucosum		52:1001*	sp. nov. (VP)	Yassin et al. 2002 emend. Daneshvar et al. 2004		"1, +"	"DSM 44532, IMMIB D-1488, NRRL B-24143, CCUG 47449, JCM 11766, strain DSM 44532"	775157	
Corynebacterium	auris		45:735*	sp. nov. (VP)	Funke et al. 1995		2	"CCUG 33426, DMMZ 328, DSM 44122, ATCC 51966, CIP 104632, DZZM 328, JCM 11946, LMG 19072"	775158	
Corynebacterium	auriscanis		50:423	sp. nov. (VL)	Collins et al. 2000 emend. Nouioui et al. 2018		2	"CCUG 39938, M598/96/1, DSM 44609, CIP 106629, JCM 12369"	775159	
Corynebacterium	belfantii		68:3826*	sp. nov. (VP)	Dazas et al. 2018			"CIP 111412, DSM 105776, FRC0043"	798019	
Corynebacterium	betae		30:225	"species (AL), heterotypic syn."	Keyworth et al. 1956	[DSMZ] reduced to pathovar rank; see <I>Curtobacterium flaccumfaciens</I> pv <I>betae</I>	"1, p2"	"NCPPB 374, 374, LMG 3596"	775162	775326
Corynebacterium	beticola		30:225	species (AL)	Abdou 1969		"2, p"	"NCPPB 2256, LMG 7187, NCPPB 3128"	775163	
Corynebacterium	bovis		30:225	species (AL)	Bergey et al. 1923		"2, ht"	"ATCC 7715, DSM 20582, IMET 10632, NCTC 3224, CCUG 2705, CIP 54.80, JCM 11947"	775164	
Corynebacterium	callunae		9:2007	comb. nov. (VP)	(Lee and Good 1963) Yamada and Komagata 1972 emend. Nouioui et al. 2018		1	"ATCC 15991, DSM 20147, IMET 11079, NCIB 10338, NRRL B-2244, CCUG 28793, CIP 104277, DSMZ 20147, HAMBI 2053, IFO 15359, JCM 9489, NBRC 15359"	775165	
Corynebacterium	camporealensis		48:463*	sp. nov. (VP)	Fernández-Garayzábal et al. 1998 emend. Nouioui et al. 2018		"2, t"	"CECT 4897, CRS-51, DSM 44610, ATCC BAA-77, CCUG 39412, CIP 105508, JCM 11664, strain CRS-51"	775166	
Corynebacterium	canis		60:2544*	sp. nov. (VP)	Funke et al. 2010		"1, +"	"1170, CCUG 58627, DSM 45402"	788871	
Corynebacterium	capitovis		51:857*	sp. nov. (VP)	Collins et al. 2001 emend. Nouioui et al. 2018		"1, t+"	"CCUG 39779, CIP 106739, DSM 44611, JCM 12101, S108/98/2"	775168	
Corynebacterium	casei		51:843*	sp. nov. (VP)	Brennan et al. 2001 emend. Nouioui et al. 2018		1	"DPC 5298, LMG S-19264, DSM 44701, CIP 107182, JCM 12072, NCIMB 30130"	775169	
Corynebacterium	caspium		54:925*	sp. nov. (VP)	Collins et al. 2004 emend. Nouioui et al. 2018		"1, t+"	"CCUG 44566, CIP 107965, M/106/00/5, DSM 44850, JCM 13387"	775170	
Corynebacterium	ciconiae		54:2191*	sp. nov. (VP)	Fernández-Garayzábal et al. 2004 emend. Nouioui et al. 2018		1	"BS13, CCUG 47525, CECT 5779, DSM 44920, JCM 13388, strain BS13"	775172	
Corynebacterium	confusum		48:1291*	sp. nov. (VP)	Funke et al. 1998		2	"CCUG 38267, DMMZ 2439, DSM 44384, CIP 105403, JCM 12102"	775174	
Corynebacterium	coyleae		47:92*	sp. nov. (VP)	Funke et al. 1997		2	"CCUG 35014, DMMZ 214, DSM 44184, ATCC 700219, CCUG 38194, CIP 104919, JCM 10381"	775175	
Corynebacterium	crudilactis		66:5288*	sp. nov. (VP)	Zimmermann et al. 2016			"JZ16, DSM 100882, CCUG 69192, LMG 29813"	794878	
Corynebacterium	cystitidis		30:225	species (AL)	Yanagawa and Honda 1978 emend. Nouioui et al. 2018		"2, t"	"ATCC 29593, DSM 20524, CCUG 28794, CIP 103424, DSMZ 20524, IFO 15284, JCM 3715, NBRC 15284, NCTC 11863"	775177	
Corynebacterium	deserti		62:791*	sp. nov. (VP)	Zhou et al. 2012 emend. Nouioui et al. 2018		1	"GIMN1.010, CCTCC AB 2010341, NRRL B-59552, DSM 45689"	789791	
Corynebacterium	diphtheriae	diphtheriae	69:5	"comb. nov. (VL), homotypic syn."	(Kruse 1886) Tagini et al. 2019		"2, T"	"ATCC 27010, CIP 100721, DSM 44123, NCTC 11397"	798135	775178
Corynebacterium	diphtheriae	lausannense	69:5	subsp. nov. (VL)	Tagini et al. 2019			"CCUG 72509, CHUV2995, DSM 107520"	798036	
Corynebacterium	diphtheriae		9:2007	comb. nov. (VP)	(Kruse 1886) Lehmann and Neumann 1896 emend. Nouioui et al. 2018		"2, T"	"ATCC 27010, DSM 44123, CIP 100721, NCTC 11397"	775178	
Corynebacterium	doosanense		59:2734*	sp. nov. (VP)	Lee et al. 2009 emend. Nouioui et al. 2018		1	"CAU 212, CCUG 57284, KCTC 19568, DSM 45436"	788170	
Corynebacterium	durum		47:1107*	sp. nov. (VP)	Riegel et al. 1997		"1, +"	"CCUG 37331, DSM 44351, IBS G1503, DSM 45333, CIP 105490, IBS G15036, JCM 11948"	775179	
Corynebacterium	efficiens		52:1127*	sp. nov. (VP)	Fudou et al. 2002 emend. Nouioui et al. 2018		1	"AJ 12310, DSM 44549, JCM 11189, YS-314, CCUG 47130, CCUG 48037, NBRC 100395"	775180	
Corynebacterium	epidermidicanis		62:2194*	sp. nov. (VP)	Frischmann et al. 2012 emend. Nouioui et al. 2018		"1, t+"	"410, CCUG 60915, DSM 45586, LMG 26322"	790130	
Corynebacterium	equi		9:2007	"species (VP), heterotypic syn."	Magnusson 1923		"2, ht"	"25729, ATCC 6939, DSM 20307, IMET 7467, NCTC 1621, ATCC 25729, CCUG 892, CIP 54.72, DSMZ 20307, HAMBI 2061, IFO 14956, JCM 1311, JCM 3209, LMG 18452, NBRC 101255, NBRC 14956, NRRL B-16538, VKM Ac-953, C 7"	775181	791654
Corynebacterium	faecale		66:2478*	sp. nov. (VP)	Chen et al. 2016			"YIM 101505, DSM 45971, CCTCC AB 2013226"	794251	
Corynebacterium	falsenii		48:69*	sp. nov. (VP)	Sjödén et al. 1998 emend. Nouioui et al. 2018		2	"CCUG 33651, DSM 44353, CIP 105466, JCM 11949, Y13024"	775182	
Corynebacterium	fascians		30:225	comb. nov. (AL)	(Tilford 1936) Dowson 1942		"1, p"	"ATCC 12974, DSM 20669, ATCC 12974 ,, CFBP 2401, CIP 104713, ICMP 5833, IFO 12155, JCM 10002, LMG 3623, NBRC 12155, NCPPB 3067, NRRL B-16937, VKM Ac-1462"	775183	780450
Corynebacterium	felinum		51:1349*	sp. nov. (VP)	Collins et al. 2001			"CCUG 39943, CIP 106740, DSM 44508, M714/95/5, JCM 12103"	775184	
Corynebacterium	flaccumfaciens	betae	32:315*	"comb. nov. (VP), heterotypic syn."	(Keyworth et al. 1956) Carlson and Vidaver 1982		"1, p2"	"NCPPB 374, LMG 3596, 374"	795022	775326
Corynebacterium	flaccumfaciens	flaccumfaciens	32:315*	"comb. nov. (VP), homotypic syn."	(Hedges 1922) Carlson and Vidaver 1982		"1, p2"	"CIP 107085, ICMP 2584, JCM 9670, LMG 3645, NCPPB 1446"	798132	775326
Corynebacterium	flaccumfaciens	oortii	32:315*	"comb. nov. (VP), heterotypic syn."	(Saaltink and Maas Geesteranus 1969) Carlson and Vidaver 1982		"1, p2"	"2113, ATCC 25283, LMG 3702, NCPPB 2113"	798133	775326
Corynebacterium	flaccumfaciens	poinsettiae	32:315*	"comb. nov. (VP), heterotypic syn."	(Starr and Pirone 1942) Carlson and Vidaver 1982		"1, p2"	"ATCC 9682, CIP 107084, DSM 20149, LMG 3715"	798134	775326
Corynebacterium	flaccumfaciens		30:225	comb. nov. (AL)	(Hedges 1922) Dowson 1942		"1, p2"	"DSM 20129, NCPPB 1446, CIP 107085, ICMP 2584, JCM 9670, LMG 3645"	775187	775326
Corynebacterium	flavescens		30:225	species (AL)	Barksdale et al. 1979 emend. Nouioui et al. 2018		1	"ATCC 10340, DSM 20296, IMET 11080, NCDO 1320, NCIB 8707, 8 of Orla-Jensen, CCUG 28791, CIP 69.5, DSMZ 20296, IFO 14136, JCM 1317, LMG 4046, NBRC 14136, NCCB 42012, NCIMB 8707, VKM Ac-1956"	775189	
Corynebacterium	fournieri		68:3379	sp. nov. (VL)	Diop et al. 2018	[IJSEM] The List Editors have corrected the specific epithet from fournierii (sic) to fournieri (four.nier’i. N.L. gen. n. fournieri...).		"CSUR P2948, DSM 103271, Marseille-P2948"	797970	
Corynebacterium	fournierii		68:3379	orthographically incorrect name	Diop et al. 2018			"CSUR P2948, DSM 103271, Marseille-P2948"	797969	797970
Corynebacterium	frankenforstense		63:4495*	sp. nov. (VP)	Wiertz et al. 2013 emend. Nouioui et al. 2018		"1, t+"	"ST18, DSM 45800, CCUG 63371"	791336	
Corynebacterium	freiburgense		59:2054*	sp. nov. (VP)	Funke et al. 2009 emend. Nouioui et al. 2018		"1, +"	"1045, CCUG 56874, DSM 45254"	788039	
Corynebacterium	freneyi		51:1723*	sp. nov. (VP)	Renaud et al. 2001 emend. Funke and Frodl 2008		2	"CIP 106767, DSM 44506, ISPB 6695110, JCM 12104, strain CCUG 45704"	775190	
Corynebacterium	glaucum		53:705*	sp. nov. (VP)	Yassin et al. 2003		1	"DSM 44530, IMMIB R-5091, NRRL B-24142, JCM 12208"	775191	
Corynebacterium	glucuronolyticum		45:879	sp. nov. (VL)	Funke et al. 1995 emend. Nouioui et al. 2018		2	"6, DSM 44120, ATCC 51860, CCUG 35055, CIP 104577, DMMZ 838, JCM 11612, LMG 19047, strain 6"	775192	
Corynebacterium	glutamicum		9:2007	comb. nov. (VP)	(Kinoshita et al. 1958) Abe et al. 1967 emend. Nouioui et al. 2018		1	"ATCC 13032, DSM 20300, IMET 10482, NCIB 10025, CCUG 27702, CIP 82.08, DSMZ 20300, HAMBI 2052, IFO 12168, JCM 1318, LMG 3730, NBRC 12168, NRRL B-2784"	775193	
Corynebacterium	glyciniphilum		65:177*	sp. nov. (VP)	(ex Kubota et al. 1972) Al-Dilaimi et al. 2015			"AJ 3170, DSM 45795, ATCC 21341"	792445	
Corynebacterium	godavarianum		68:241*	sp. nov. (VP)	Jani et al. 2018			"KCTC 39803, LMG 29598, MCC 3388, PRD07"	797469	
Corynebacterium	gottingense		67:4494*	sp. nov. (VP)	Atasayar et al. 2017	"[DSMZ] in the protologue of the IJSEM original publication (Int J Syst Evol Microbiol 2017; 67:4494-4499), the strain designation is incorrectly cited as 2991/2016 instead of 99221/2016"		"99221/2016, DSM 103494, JCM 31931, 22991/2016"	795620	
Corynebacterium	guangdongense		66:3201*	sp. nov. (VP)	Li et al. 2016			"S01, GDMCC 1.1022, CCTCC AB 2015423, KCTC 39608, DSM 107476"	794328	
Corynebacterium	hadale		68:1474*	sp. nov. (VP)	Wei et al. 2018			"DSM 105365, MCCC 1K03347, NBT06-6"	797667	
Corynebacterium	halotolerans		54:779*	sp. nov. (VP)	Chen et al. 2004 emend. Nouioui et al. 2018		1	"CCTCC AA001024, DSM 44683, YIM 70093, CCTCC AA 001024, JCM 12676"	775197	
Corynebacterium	hansenii		57:1113*	sp. nov. (VP)	Renaud et al. 2007		"1, +"	"C-138, CIP 108444, CCUG 53252, DSM 45109, JCM 15293"	786249	
Corynebacterium	hoagii		30:225	comb. nov. (AL)	(Morse 1912) Eberson 1918		"2, ht"	"ATCC 7005, DSM 20295, IMET 11373, NCTC 10673, CCUG 20991, CIP 81.17, JCM 1319, NBRC 103062, ATCC 7005CCUG 20991"	775200	791654
Corynebacterium	humireducens		61:882*	sp. nov. (VP)	Wu et al. 2011 emend. Nouioui et al. 2018		1	"MFC-5, CGMCC 2452, DSM 45392, NBRC 106098"	789140	
Corynebacterium	ilicis		30:225	species (AL)	Mandel et al. 1961		"1, p2"	"ICMP 2608, ICPB CI144"	775203	
Corynebacterium	imitans		47:1274	sp. nov. (VL)	Funke et al. 1997 emend. Nouioui et al. 2018		2	"CCUG 36877, DSM 44264, NCTC 13015, ATCC 700354, CIP 105130, IFO 16163, JCM 10386, NBRC 100416, NBRC 16163"	775204	
Corynebacterium	insidiosum		30:225	comb. nov. (AL)	(McCulloch 1925) Jensen 1934		"1, p2"	"DSM 20157, NCPPB 1109, CCUG 38895, CFBP 2404, CIP 105048, CIP 105363, ICMP 2621, JCM 9664, LMG 3663, VKM Ac-1402, ATCC 10253"	775205	798137
Corynebacterium	iranicum		32:315*	sp. nov. (VP)	(ex Scharif 1961) Carlson and Vidaver 1982		"1, p"	"DSM 7484, NCPPC 2253, CCUG 23897, CFBP 807, CIP 104037, DSMZ 7484, ICMP 3496, JCM 9308, LMG 3677, NCPPB 2253, VKM Ac-1602"	775206	780338
Corynebacterium	jeddahense		67:2075	sp. nov. (VL)	Edouard et al. 2017	"[IJSEM] The etymology must state: pertaining to Jeddah, the town in Saudi Arabia …"		"JCB, CSUR P778, DSM 45997"	793996	
Corynebacterium	jeikeium		38:136	sp. nov. (VL)	Jackman et al. 1988 emend. Nouioui et al. 2018	[IJSEM] Type designated by author(s).	2	"ATCC 43734, DSM 7171, NCTC 11913, CCUG 27192, CIP 103337, DSM 46361, JCM 9384"	775207	
Corynebacterium	kroppenstedtii		48:1449*	sp. nov. (VP)	Collins et al. 1998 emend. Nouioui et al. 2018		"1, +"	"CCUG 35717, DSM 44385, CIP 105744, JCM 11950"	775208	
Corynebacterium	kutscheri		9:2007	comb. nov. (VP)	(Migula 1900) Bergey et al. 1925 emend. Nouioui et al. 2018		"1, ht+"	"ATCC 15677, DSM 20755, NCTC 11138, CCUG 27535, CIP 103423, DSMZ 20755, IFO 15288, JCM 9385, NBRC 15288"	775209	
Corynebacterium	lactis		63:4495*	sp. nov. (VP)	Wiertz et al. 2013 emend. Nouioui et al. 2018		"1, t+"	"RW2-5, DSM 45799, CCUG 63372"	791337	
Corynebacterium	lilium		30:225	"species (AL), heterotypic syn."	Lee and Good 1963	[DSMZ] synonymy: IJSB 41:259*	1	"ATCC 15990, DSM 20137, IMET 11081, NCIB 10337, NRRL B-2243, JCM 1321, LMG 3654"	775212	775193
Corynebacterium	lipophiloflavum		47:1274	sp. nov. (VL)	Funke et al. 1997		"1, +"	"CCUG 37336, DMMZ 1944, DSM 44291, ATCC 700352, CIP 105127, JCM 10383"	775213	
Corynebacterium	liquefaciens		30:539*	"comb. nov. (VP), heterotypic syn."	(Okabayashi and Masuo 1960) Lanéelle et al. 1980	"[DSMZ] Comment: Erroneously reclassified as <I>Corynebacterium liquefaciens</I>; IJSB 30:544*, IJSB 34:274*. Junior heterotypic synonym of<I> Arthrobacter nicotianae</I>. Synonymy: IJSEM 54:615*"	1	"CCUG 43493, CIP 104276, DSM 20579, JCM 1970, LMG 16159"	798138	794225
Corynebacterium	lowii		66:2803*	sp. nov. (VP)	Bernard et al. 2016			"R-50085, LMG 28276, CCUG 65815, TKD4, NML 130206, DSM 107388"	794320	
